date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,league,season
2021-09-11,Atalanta,Cagliari,2,0,2.325,0.456,Serie A,2021/2022
2021-09-12,Juventus,Roma,1,1,1.395,0.82,Serie A,2021/2022
2021-09-12,Genoa,Atalanta,0,1,0.969,1.682,Serie A,2021/2022
2021-09-17,Juventus,Frosinone,2,0,2.848,0.48,Serie A,2021/2022
2021-09-17,Napoli,Inter,1,1,1.161,1.173,Serie A,2021/2022
2021-09-17,Bologna,Monza,1,1,1.538,0.703,Serie A,2021/2022
2021-09-18,Bologna,Atalanta,0,0,0.902,1.187,Serie A,2021/2022
2021-09-18,Lazio,Bologna,1,0,1.542,0.969,Serie A,2021/2022
2021-09-18,Inter,Udinese,2,0,2.381,0.303,Serie A,2021/2022
2021-09-19,Cagliari,Sassuolo,3,2,1.418,0.833,Serie A,2021/2022
2021-09-19,Udinese,Inter,3,0,0.714,1.744,Serie A,2021/2022
2021-09-19,Monza,Genoa,2,2,1.168,0.977,Serie A,2021/2022
2021-09-19,Udinese,Napoli,3,3,0.774,1.197,Serie A,2021/2022
2021-09-24,Inter,Cagliari,1,1,2.929,0.429,Serie A,2021/2022
2021-09-24,Lecce,Roma,0,0,0.637,1.598,Serie A,2021/2022
2021-09-24,Napoli,Fiorentina,0,2,1.462,0.653,Serie A,2021/2022
2021-09-25,Napoli,Lecce,4,1,2.221,0.642,Serie A,2021/2022
2021-09-25,Genoa,Udinese,2,0,1.269,0.878,Serie A,2021/2022
2021-09-26,Torino,Frosinone,0,1,2.084,0.526,Serie A,2021/2022
2021-09-26,Empoli,Frosinone,2,0,1.682,0.831,Serie A,2021/2022
2021-09-26,Empoli,Torino,1,0,0.953,1.222,Serie A,2021/2022
2021-09-26,Lecce,Salernitana,2,2,1.567,0.932,Serie A,2021/2022
2021-09-26,Cagliari,Udinese,0,0,1.054,1.137,Serie A,2021/2022
2021-10-01,Empoli,Lecce,1,0,0.972,1.054,Serie A,2021/2022
2021-10-01,Hellas Verona,Monza,1,1,1.291,1.286,Serie A,2021/2022
2021-10-01,Hellas Verona,Inter,1,1,0.443,2.262,Serie A,2021/2022
2021-10-02,Milan,Inter,1,1,1.118,0.849,Serie A,2021/2022
2021-10-02,Lazio,Monza,1,2,1.767,0.959,Serie A,2021/2022
2021-10-02,Hellas Verona,Torino,2,2,1.008,1.437,Serie A,2021/2022
2021-10-02,Fiorentina,Empoli,1,0,1.854,0.545,Serie A,2021/2022
2021-10-03,Juventus,Monza,3,1,2.179,0.548,Serie A,2021/2022
2021-10-03,Salernitana,Genoa,0,0,0.659,1.421,Serie A,2021/2022
2021-10-03,Torino,Atalanta,0,2,0.699,1.305,Serie A,2021/2022
2021-10-08,Napoli,Roma,2,1,1.373,0.911,Serie A,2021/2022
2021-10-08,Salernitana,Fiorentina,1,1,0.462,1.747,Serie A,2021/2022
2021-10-08,Sassuolo,Udinese,0,2,0.859,1.201,Serie A,2021/2022
2021-10-09,Monza,Empoli,3,1,1.366,0.768,Serie A,2021/2022
2021-10-09,Cagliari,Genoa,1,3,1.068,1.198,Serie A,2021/2022
2021-10-09,Inter,Lazio,1,0,1.684,0.437,Serie A,2021/2022
2021-10-09,Atalanta,Roma,2,1,1.304,0.866,Serie A,2021/2022
2021-10-10,Lazio,Roma,1,1,1.094,1.001,Serie A,2021/2022
2021-10-10,Milan,Udinese,2,0,2.277,0.487,Serie A,2021/2022
2021-10-10,Bologna,Torino,3,0,1.336,0.973,Serie A,2021/2022
2021-10-15,Milan,Juventus,0,2,1.19,1.097,Serie A,2021/2022
2021-10-16,Inter,Sassuolo,3,1,3.018,0.475,Serie A,2021/2022
2021-10-16,Juventus,Sassuolo,0,0,2.53,0.39,Serie A,2021/2022
2021-10-16,Empoli,Udinese,0,0,0.811,1.105,Serie A,2021/2022
2021-10-16,Udinese,Salernitana,3,0,1.846,0.935,Serie A,2021/2022
2021-10-16,Monza,Juventus,1,0,0.799,1.713,Serie A,2021/2022
2021-10-17,Roma,Lazio,3,1,1.379,0.987,Serie A,2021/2022
2021-10-17,Sassuolo,Torino,0,0,0.731,1.493,Serie A,2021/2022
2021-10-17,Roma,Fiorentina,0,0,1.343,0.638,Serie A,2021/2022
2021-10-17,Lecce,Atalanta,1,1,0.864,1.72,Serie A,2021/2022
2021-10-22,Torino,Napoli,2,1,1.03,1.172,Serie A,2021/2022
2021-10-22,Empoli,Juventus,2,1,0.627,1.991,Serie A,2021/2022
2021-10-22,Sassuolo,Fiorentina,1,2,0.884,1.866,Serie A,2021/2022
2021-10-23,Lecce,Juventus,0,2,0.492,1.79,Serie A,2021/2022
2021-10-23,Bologna,Frosinone,1,0,2.013,0.611,Serie A,2021/2022
2021-10-23,Salernitana,Atalanta,0,1,0.57,2.118,Serie A,2021/2022
2021-10-23,Napoli,Udinese,2,1,2.081,0.746,Serie A,2021/2022
2021-10-24,Sassuolo,Napoli,1,3,0.78,1.839,Serie A,2021/2022
2021-10-24,Juventus,Milan,0,2,1.219,1.036,Serie A,2021/2022
2021-10-24,Milan,Sassuolo,3,0,2.8,0.435,Serie A,2021/2022
2021-10-29,Lazio,Empoli,1,0,2.1,0.712,Serie A,2021/2022
2021-10-29,Lecce,Hellas Verona,1,1,1.311,1.114,Serie A,2021/2022
2021-10-30,Genoa,Empoli,2,0,1.536,0.808,Serie A,2021/2022
2021-10-30,Roma,Cagliari,4,0,2.107,0.581,Serie A,2021/2022
2021-10-30,Udinese,Roma,0,0,0.87,1.464,Serie A,2021/2022
2021-10-31,Cagliari,Empoli,0,1,0.949,1.022,Serie A,2021/2022
2021-10-31,Roma,Frosinone,1,3,2.56,0.469,Serie A,2021/2022
2021-10-31,Bologna,Empoli,2,0,1.64,0.445,Serie A,2021/2022
2021-10-31,Monza,Torino,2,2,1.246,1.364,Serie A,2021/2022
2021-10-31,Bologna,Cagliari,2,1,1.757,0.76,Serie A,2021/2022
2021-11-05,Roma,Lecce,1,0,1.905,0.484,Serie A,2021/2022
2021-11-05,Empoli,Sassuolo,1,0,1.43,1.083,Serie A,2021/2022
2021-11-05,Napoli,Cagliari,1,0,2.355,0.557,Serie A,2021/2022
2021-11-06,Hellas Verona,Lazio,1,3,0.796,1.605,Serie A,2021/2022
2021-11-06,Atalanta,Milan,1,0,1.135,1.098,Serie A,2021/2022
2021-11-06,Juventus,Inter,1,3,0.998,1.112,Serie A,2021/2022
2021-11-07,Cagliari,Lazio,1,2,0.652,1.557,Serie A,2021/2022
2021-11-07,Milan,Cagliari,4,0,2.523,0.403,Serie A,2021/2022
2021-11-07,Sassuolo,Hellas Verona,1,2,1.273,1.202,Serie A,2021/2022
2021-11-07,Juventus,Empoli,3,0,2.468,0.3,Serie A,2021/2022
2021-11-12,Udinese,Milan,1,2,1.028,1.487,Serie A,2021/2022
2021-11-12,Hellas Verona,Napoli,1,0,0.739,2.235,Serie A,2021/2022
2021-11-12,Lecce,Monza,0,0,1.04,1.013,Serie A,2021/2022
2021-11-13,Lecce,Napoli,1,0,0.506,1.69,Serie A,2021/2022
2021-11-13,Roma,Milan,1,3,1.19,1.034,Serie A,2021/2022
2021-11-13,Milan,Roma,1,1,1.418,0.89,Serie A,2021/2022
2021-11-14,Atalanta,Bologna,2,0,1.614,0.763,Serie A,2021/2022
2021-11-14,Udinese,Juventus,2,0,0.843,1.471,Serie A,2021/2022
2021-11-14,Sassuolo,Salernitana,2,4,1.646,1.125,Serie A,2021/2022
2021-11-14,Salernitana,Udinese,1,1,0.999,1.421,Serie A,2021/2022
2021-11-19,Fiorentina,Hellas Verona,0,3,1.806,0.567,Serie A,2021/2022
2021-11-19,Lecce,Cagliari,4,0,1.518,0.635,Serie A,2021/2022
2021-11-19,Monza,Inter,1,0,0.505,1.938,Serie A,2021/2022
2021-11-20,Salernitana,Milan,0,1,0.441,2.481,Serie A,2021/2022
2021-11-20,Milan,Napoli,3,2,1.303,0.996,Serie A,2021/2022
2021-11-20,Inter,Bologna,1,1,2.002,0.419,Serie A,2021/2022
2021-11-21,Roma,Napoli,1,2,1.016,0.868,Serie A,2021/2022
2021-11-21,Cagliari,Fiorentina,1,0,0.852,1.429,Serie A,2021/2022
2021-11-21,Cagliari,Lecce,1,0,1.081,1.054,Serie A,2021/2022
2021-11-21,Lazio,Milan,2,0,1.205,1.19,Serie A,2021/2022
2021-11-26,Torino,Roma,3,0,0.954,1.228,Serie A,2021/2022
2021-11-26,Lazio,Udinese,1,0,1.48,0.698,Serie A,2021/2022
2021-11-26,Udinese,Bologna,1,2,0.951,1.275,Serie A,2021/2022
2021-11-27,Genoa,Frosinone,2,0,1.878,0.688,Serie A,2021/2022
2021-11-27,Cagliari,Napoli,0,5,0.571,1.775,Serie A,2021/2022
2021-11-27,Frosinone,Fiorentina,2,3,0.849,1.624,Serie A,2021/2022
2021-11-27,Milan,Empoli,1,0,2.258,0.384,Serie A,2021/2022
2021-11-28,Juventus,Hellas Verona,2,0,2.555,0.387,Serie A,2021/2022
2021-11-28,Hellas Verona,Juventus,0,2,0.722,2.179,Serie A,2021/2022
2021-11-28,Bologna,Roma,2,1,1.01,1.017,Serie A,2021/2022
2021-12-03,Monza,Milan,1,1,0.927,1.551,Serie A,2021/2022
2021-12-03,Lazio,Napoli,0,2,1.012,0.989,Serie A,2021/2022
2021-12-03,Juventus,Atalanta,2,0,1.468,0.922,Serie A,2021/2022
2021-12-03,Sassuolo,Roma,1,1,0.732,1.663,Serie A,2021/2022
2021-12-04,Bologna,Hellas Verona,2,1,1.941,0.72,Serie A,2021/2022
2021-12-04,Frosinone,Torino,0,1,0.765,1.306,Serie A,2021/2022
2021-12-05,Frosinone,Salernitana,4,0,1.167,0.745,Serie A,2021/2022
2021-12-05,Fiorentina,Milan,1,1,1.014,1.286,Serie A,2021/2022
2021-12-05,Hellas Verona,Milan,1,2,0.588,2.076,Serie A,2021/2022
2021-12-05,Empoli,Atalanta,0,1,0.717,1.561,Serie A,2021/2022
2021-12-10,Udinese,Fiorentina,1,0,0.904,1.221,Serie A,2021/2022
2021-12-10,Salernitana,Frosinone,2,1,1.295,1.154,Serie A,2021/2022
2021-12-11,Inter,Lecce,5,0,3.121,0.512,Serie A,2021/2022
2021-12-11,Udinese,Lecce,0,2,1.462,0.536,Serie A,2021/2022
2021-12-12,Lecce,Bologna,2,2,1.062,1.622,Serie A,2021/2022
2021-12-12,Frosinone,Roma,0,2,0.589,1.995,Serie A,2021/2022
2021-12-12,Empoli,Napoli,1,1,0.683,1.866,Serie A,2021/2022
2021-12-12,Milan,Atalanta,3,3,1.364,0.897,Serie A,2021/2022
2021-12-12,Napoli,Salernitana,2,0,2.827,0.467,Serie A,2021/2022
2021-12-12,Inter,Juventus,1,0,1.674,0.979,Serie A,2021/2022
2021-12-17,Hellas Verona,Empoli,1,0,1.099,1.062,Serie A,2021/2022
2021-12-17,Frosinone,Udinese,0,2,0.818,1.23,Serie A,2021/2022
2021-12-18,Frosinone,Hellas Verona,0,1,1.094,0.864,Serie A,2021/2022
2021-12-18,Torino,Milan,0,3,0.667,1.32,Serie A,2021/2022
2021-12-18,Lazio,Sassuolo,3,0,2.532,0.726,Serie A,2021/2022
2021-12-18,Empoli,Inter,1,1,0.46,2.207,Serie A,2021/2022
2021-12-18,Udinese,Lazio,2,1,1.003,1.257,Serie A,2021/2022
2021-12-18,Frosinone,Napoli,0,3,0.514,2.063,Serie A,2021/2022
2021-12-19,Fiorentina,Cagliari,0,0,2.15,0.42,Serie A,2021/2022
2021-12-19,Empoli,Milan,0,3,0.713,1.936,Serie A,2021/2022
2021-12-24,Udinese,Hellas Verona,1,2,1.508,0.726,Serie A,2021/2022
2021-12-24,Salernitana,Cagliari,1,0,1.145,1.281,Serie A,2021/2022
2021-12-24,Inter,Atalanta,1,0,1.57,0.624,Serie A,2021/2022
2021-12-25,Lazio,Salernitana,2,2,2.406,0.461,Serie A,2021/2022
2021-12-25,Juventus,Lazio,0,0,1.396,0.956,Serie A,2021/2022
2021-12-25,Torino,Monza,2,0,1.588,0.992,Serie A,2021/2022
2021-12-26,Bologna,Inter,0,4,0.747,1.49,Serie A,2021/2022
2021-12-26,Salernitana,Lecce,1,2,1.04,1.18,Serie A,2021/2022
2021-12-26,Genoa,Cagliari,5,0,1.475,0.792,Serie A,2021/2022
2021-12-26,Atalanta,Torino,0,0,1.517,0.855,Serie A,2021/2022
2021-12-31,Napoli,Lazio,2,0,1.394,0.816,Serie A,2021/2022
2021-12-31,Milan,Bologna,1,2,1.725,0.702,Serie A,2021/2022
2021-12-31,Cagliari,Frosinone,0,1,1.374,1.008,Serie A,2021/2022
2022-01-01,Salernitana,Empoli,0,1,0.918,1.057,Serie A,2021/2022
2022-01-01,Inter,Genoa,4,2,2.251,0.591,Serie A,2021/2022
2022-01-01,Juventus,Bologna,0,0,1.724,0.554,Serie A,2021/2022
2022-01-02,Empoli,Cagliari,0,2,1.044,0.902,Serie A,2021/2022
2022-01-02,Frosinone,Genoa,0,0,0.963,1.195,Serie A,2021/2022
2022-01-02,Lecce,Inter,0,2,0.651,2.193,Serie A,2021/2022
2022-01-02,Fiorentina,Bologna,1,0,1.252,1.136,Serie A,2021/2022
2022-01-07,Genoa,Torino,1,0,0.913,1.017,Serie A,2021/2022
2022-01-07,Juventus,Fiorentina,2,0,1.753,0.674,Serie A,2021/2022
2022-01-07,Genoa,Juventus,1,0,0.921,1.622,Serie A,2021/2022
2022-01-07,Torino,Lecce,1,1,1.633,0.687,Serie A,2021/2022
2022-01-08,Frosinone,Lazio,0,1,0.618,1.742,Serie A,2021/2022
2022-01-08,Juventus,Torino,3,0,1.995,0.757,Serie A,2021/2022
2022-01-08,Roma,Sassuolo,4,0,2.605,0.458,Serie A,2021/2022
2022-01-08,Genoa,Inter,1,0,0.64,1.804,Serie A,2021/2022
2022-01-08,Lazio,Inter,0,1,0.777,1.226,Serie A,2021/2022
2022-01-08,Sassuolo,Genoa,2,0,0.984,1.183,Serie A,2021/2022
2022-01-14,Napoli,Empoli,1,1,2.538,0.509,Serie A,2021/2022
2022-01-14,Monza,Napoli,0,3,0.652,1.904,Serie A,2021/2022
2022-01-14,Torino,Inter,1,2,0.663,1.382,Serie A,2021/2022
2022-01-15,Sassuolo,Lecce,0,2,1.264,1.007,Serie A,2021/2022
2022-01-15,Lecce,Sassuolo,2,0,1.412,0.737,Serie A,2021/2022
2022-01-15,Lecce,Lazio,1,1,0.833,1.534,Serie A,2021/2022
2022-01-15,Genoa,Napoli,2,3,0.484,1.625,Serie A,2021/2022
2022-01-16,Atalanta,Lecce,4,0,2.093,0.535,Serie A,2021/2022
2022-01-16,Torino,Juventus,1,2,0.842,1.211,Serie A,2021/2022
2022-01-16,Genoa,Monza,2,2,1.419,1.113,Serie A,2021/2022
2022-01-21,Udinese,Atalanta,0,3,0.746,1.374,Serie A,2021/2022
2022-01-21,Lecce,Genoa,0,2,1.008,1.117,Serie A,2021/2022
2022-01-21,Juventus,Salernitana,5,0,2.944,0.355,Serie A,2021/2022
2022-01-21,Torino,Sassuolo,3,2,1.816,0.604,Serie A,2021/2022
2022-01-21,Monza,Lazio,1,1,0.875,1.515,Serie A,2021/2022
2022-01-21,Inter,Torino,1,0,2.213,0.585,Serie A,2021/2022
2022-01-22,Torino,Bologna,1,2,1.21,1.03,Serie A,2021/2022
2022-01-23,Lazio,Fiorentina,1,1,1.182,0.769,Serie A,2021/2022
2022-01-23,Genoa,Milan,1,2,0.77,1.537,Serie A,2021/2022
2022-01-23,Udinese,Frosinone,3,0,1.816,0.798,Serie A,2021/2022
2022-01-28,Lecce,Empoli,1,0,1.464,0.955,Serie A,2021/2022
2022-01-28,Sassuolo,Milan,2,3,0.604,2.195,Serie A,2021/2022
2022-01-28,Salernitana,Napoli,0,5,0.469,2.447,Serie A,2021/2022
2022-01-28,Atalanta,Hellas Verona,4,0,2.413,0.636,Serie A,2021/2022
2022-01-29,Fiorentina,Frosinone,2,0,2.401,0.501,Serie A,2021/2022
2022-01-29,Atalanta,Udinese,0,0,1.586,0.709,Serie A,2021/2022
2022-01-29,Roma,Atalanta,2,2,1.278,0.977,Serie A,2021/2022
2022-01-29,Monza,Frosinone,1,0,1.657,0.627,Serie A,2021/2022
2022-01-30,Hellas Verona,Fiorentina,2,1,0.732,1.391,Serie A,2021/2022
2022-01-30,Bologna,Lecce,0,0,1.804,0.559,Serie A,2021/2022
2022-02-04,Milan,Frosinone,1,1,2.928,0.3,Serie A,2021/2022
2022-02-04,Napoli,Torino,4,0,2.024,0.713,Serie A,2021/2022
2022-02-05,Empoli,Roma,0,3,0.595,1.541,Serie A,2021/2022
2022-02-05,Hellas Verona,Frosinone,2,0,1.425,1.054,Serie A,2021/2022
2022-02-05,Empoli,Salernitana,1,1,1.445,0.769,Serie A,2021/2022
2022-02-06,Bologna,Lazio,1,0,1.009,1.148,Serie A,2021/2022
2022-02-06,Empoli,Genoa,2,0,1.023,0.941,Serie A,2021/2022
2022-02-06,Lecce,Torino,1,0,0.925,1.191,Serie A,2021/2022
2022-02-06,Genoa,Fiorentina,1,0,0.907,1.038,Serie A,2021/2022
2022-02-06,Hellas Verona,Genoa,4,3,1.105,1.345,Serie A,2021/2022
2022-02-11,Bologna,Sassuolo,1,0,1.812,0.644,Serie A,2021/2022
2022-02-11,Monza,Salernitana,0,0,1.917,0.729,Serie A,2021/2022
2022-02-11,Torino,Genoa,1,1,1.308,0.981,Serie A,2021/2022
2022-02-11,Genoa,Bologna,2,1,0.924,1.37,Serie A,2021/2022
2022-02-12,Bologna,Juventus,0,1,0.762,1.197,Serie A,2021/2022
2022-02-12,Sassuolo,Lazio,1,1,0.599,1.777,Serie A,2021/2022
2022-02-12,Lazio,Atalanta,2,0,1.092,1.065,Serie A,2021/2022
2022-02-12,Roma,Monza,0,1,1.937,0.943,Serie A,2021/2022
2022-02-13,Salernitana,Torino,1,0,0.553,1.58,Serie A,2021/2022
2022-02-13,Monza,Cagliari,0,1,1.607,0.759,Serie A,2021/2022
2022-02-18,Roma,Empoli,3,0,2.012,0.677,Serie A,2021/2022
2022-02-18,Napoli,Monza,2,0,2.064,0.3,Serie A,2021/2022
2022-02-18,Roma,Juventus,2,0,1.015,1.161,Serie A,2021/2022
2022-02-19,Genoa,Hellas Verona,0,2,1.446,0.664,Serie A,2021/2022
2022-02-19,Juventus,Napoli,1,2,1.389,1.02,Serie A,2021/2022
2022-02-19,Sassuolo,Frosinone,1,2,1.293,0.732,Serie A,2021/2022
2022-02-19,Udinese,Cagliari,1,2,1.528,0.667,Serie A,2021/2022
2022-02-20,Milan,Genoa,2,1,2.222,0.742,Serie A,2021/2022
2022-02-20,Inter,Fiorentina,1,0,1.883,0.58,Serie A,2021/2022
2022-02-20,Napoli,Bologna,3,0,1.542,0.548,Serie A,2021/2022
2022-02-25,Hellas Verona,Atalanta,0,5,0.837,1.721,Serie A,2021/2022
2022-02-25,Lecce,Milan,1,2,0.689,1.709,Serie A,2021/2022
2022-02-25,Fiorentina,Lecce,2,0,1.833,0.603,Serie A,2021/2022
2022-02-26,Udinese,Monza,2,1,1.365,0.762,Serie A,2021/2022
2022-02-26,Milan,Fiorentina,3,2,1.636,0.771,Serie A,2021/2022
2022-02-26,Atalanta,Monza,2,0,2.214,0.643,Serie A,2021/2022
2022-02-27,Empoli,Fiorentina,0,0,0.749,1.459,Serie A,2021/2022
2022-02-27,Frosinone,Empoli,2,1,1.021,1.105,Serie A,2021/2022
2022-02-27,Frosinone,Milan,1,5,0.4,2.33,Serie A,2021/2022
2022-02-27,Roma,Bologna,0,1,1.329,0.856,Serie A,2021/2022
2022-03-04,Lazio,Hellas Verona,5,1,2.015,0.386,Serie A,2021/2022
2022-03-04,Roma,Udinese,3,2,1.939,0.948,Serie A,2021/2022
2022-03-04,Inter,Hellas Verona,4,0,3.071,0.306,Serie A,2021/2022
2022-03-05,Salernitana,Monza,1,2,0.881,1.194,Serie A,2021/2022
2022-03-05,Napoli,Genoa,3,0,1.957,0.595,Serie A,2021/2022
2022-03-05,Empoli,Lazio,2,0,0.885,1.448,Serie A,2021/2022
2022-03-06,Fiorentina,Atalanta,0,0,0.851,1.215,Serie A,2021/2022
2022-03-06,Napoli,Sassuolo,2,0,2.599,0.369,Serie A,2021/2022
2022-03-06,Genoa,Salernitana,1,1,1.83,0.761,Serie A,2021/2022
2022-03-06,Milan,Salernitana,3,0,3.034,0.3,Serie A,2021/2022
2022-03-11,Roma,Hellas Verona,2,2,2.219,0.549,Serie A,2021/2022
2022-03-11,Atalanta,Juventus,3,1,1.078,1.135,Serie A,2021/2022
2022-03-11,Milan,Monza,0,1,2.216,0.615,Serie A,2021/2022
2022-03-11,Torino,Empoli,1,1,1.724,0.668,Serie A,2021/2022
2022-03-11,Atalanta,Salernitana,2,0,2.859,0.517,Serie A,2021/2022
2022-03-12,Hellas Verona,Lecce,3,1,1.237,1.113,Serie A,2021/2022
2022-03-12,Frosinone,Cagliari,0,2,1.351,1.143,Serie A,2021/2022
2022-03-12,Inter,Salernitana,1,0,3.2,0.351,Serie A,2021/2022
2022-03-13,Torino,Salernitana,2,1,2.059,0.691,Serie A,2021/2022
2022-03-13,Hellas Verona,Sassuolo,0,0,1.309,0.944,Serie A,2021/2022
2022-03-18,Salernitana,Bologna,3,1,0.635,1.661,Serie A,2021/2022
2022-03-18,Hellas Verona,Udinese,0,2,0.919,1.511,Serie A,2021/2022
2022-03-19,Genoa,Roma,1,1,0.807,1.211,Serie A,2021/2022
2022-03-19,Empoli,Bologna,0,2,0.925,1.33,Serie A,2021/2022
2022-03-19,Juventus,Genoa,1,3,2.198,0.706,Serie A,2021/2022
2022-03-20,Monza,Udinese,0,0,1.003,1.056,Serie A,2021/2022
2022-03-20,Juventus,Lecce,3,2,2.511,0.521,Serie A,2021/2022
2022-03-20,Fiorentina,Udinese,0,0,1.541,0.765,Serie A,2021/2022
2022-03-20,Cagliari,Hellas Verona,2,1,1.265,0.907,Serie A,2021/2022
2022-03-20,Milan,Lazio,0,3,1.411,0.805,Serie A,2021/2022
2022-03-25,Empoli,Monza,0,1,0.807,1.08,Serie A,2021/2022
2022-03-25,Lazio,Juventus,0,0,1.089,1.458,Serie A,2021/2022
2022-03-25,Bologna,Salernitana,2,0,2.45,0.621,Serie A,2021/2022
2022-03-25,Torino,Udinese,2,1,1.203,0.734,Serie A,2021/2022
2022-03-25,Udinese,Torino,3,1,1.161,1.013,Serie A,2021/2022
2022-03-26,Lazio,Genoa,3,2,1.659,0.791,Serie A,2021/2022
2022-03-26,Frosinone,Sassuolo,2,0,1.087,0.753,Serie A,2021/2022
2022-03-27,Monza,Bologna,0,2,0.987,1.27,Serie A,2021/2022
2022-03-27,Inter,Frosinone,2,2,3.2,0.333,Serie A,2021/2022
2022-03-27,Fiorentina,Napoli,0,1,1.125,1.18,Serie A,2021/2022
2022-04-01,Sassuolo,Inter,2,2,0.726,2.226,Serie A,2021/2022
2022-04-01,Inter,Empoli,2,0,2.806,0.55,Serie A,2021/2022
2022-04-01,Atalanta,Genoa,1,1,2.032,0.664,Serie A,2021/2022
2022-04-02,Torino,Fiorentina,0,0,0.914,1.148,Serie A,2021/2022
2022-04-02,Lazio,Cagliari,2,1,1.964,0.3,Serie A,2021/2022
2022-04-02,Monza,Fiorentina,3,3,0.686,1.207,Serie A,2021/2022
2022-04-02,Frosinone,Atalanta,0,1,0.612,1.809,Serie A,2021/2022
2022-04-03,Cagliari,Atalanta,0,2,0.438,1.922,Serie A,2021/2022
2022-04-03,Juventus,Udinese,2,1,1.783,0.745,Serie A,2021/2022
2022-04-03,Cagliari,Inter,0,5,0.431,2.148,Serie A,2021/2022
2022-04-08,Monza,Hellas Verona,1,1,1.596,0.711,Serie A,2021/2022
2022-04-08,Roma,Salernitana,4,1,2.7,0.322,Serie A,2021/2022
2022-04-08,Lecce,Frosinone,2,0,1.604,0.899,Serie A,2021/2022
2022-04-09,Udinese,Sassuolo,0,1,1.641,0.616,Serie A,2021/2022
2022-04-10,Roma,Genoa,6,1,1.945,0.718,Serie A,2021/2022
2022-04-10,Bologna,Fiorentina,1,1,1.121,0.944,Serie A,2021/2022
2022-04-10,Roma,Torino,3,0,1.656,0.742,Serie A,2021/2022
2022-04-10,Monza,Atalanta,1,0,0.733,1.507,Serie A,2021/2022
2022-04-10,Lazio,Frosinone,2,1,2.313,0.69,Serie A,2021/2022
2022-04-10,Sassuolo,Monza,2,2,1.129,1.195,Serie A,2021/2022
2022-04-15,Salernitana,Roma,2,7,0.655,2.042,Serie A,2021/2022
2022-04-15,Inter,Monza,5,0,2.601,0.3,Serie A,2021/2022
2022-04-15,Hellas Verona,Cagliari,1,2,1.392,1.039,Serie A,2021/2022
