Rank,Club,Country,Elo,Slug,_fetched_at
42,Betis,ESP,1776.0,Betis,2026-08-30T08:43:37.451971+00:00
43,Marseille,FRA,1774.0,Marseille,2026-08-30T08:43:37.451971+00:00
44,Como,ITA,1771.0,Como,2026-08-30T08:43:37.451971+00:00
45,St Gillis,BEL,1767.0,StGillis,2026-08-30T08:43:37.451971+00:00
46,Ind del Valle,ECU,1765.0,IDV,2026-08-30T08:43:37.451971+00:00
47,Lille,FRA,1765.0,Lille,2026-08-30T08:43:37.451971+00:00
48,Lyon,FRA,1764.0,Lyon,2026-08-30T08:43:37.451971+00:00
49,Bodø/Glimt,NOR,1764.0,BodoeGlimt,2026-08-30T08:43:37.451971+00:00
50,Fenerbahçe,TUR,1762.0,Fenerbahce,2026-08-30T08:43:37.451971+00:00
51,Monaco,FRA,1760.0,Monaco,2026-08-30T08:43:37.451971+00:00
52,PSV,NED,1760.0,PSV,2026-08-30T08:43:37.451971+00:00
53,Freiburg,GER,1756.0,Freiburg,2026-08-30T08:43:37.451971+00:00
54,FC Krasnodar,RUS,1755.0,FCKrasnodar,2026-08-30T08:43:37.451971+00:00
55,Real Sociedad,ESP,1751.0,Sociedad,2026-08-30T08:43:37.451971+00:00
56,Cruzeiro,BRA,1748.0,cruzeiro,2026-08-30T08:43:37.451971+00:00
57,Bologna,ITA,1744.0,Bologna,2026-08-30T08:43:37.451971+00:00
58,West Ham,ENG,1744.0,WestHam,2026-08-30T08:43:37.451971+00:00
59,Lazio,ITA,1743.0,Lazio,2026-08-30T08:43:37.451971+00:00
60,Fluminense,BRA,1741.0,fluminense,2026-08-30T08:43:37.451971+00:00
61,Celta,ESP,1739.0,rc-celta,2026-08-30T08:43:37.451971+00:00
62,Valencia,ESP,1738.0,Valencia,2026-08-30T08:43:37.451971+00:00
63,Al Hilal,KSA,1733.0,alhilal,2026-08-30T08:43:37.451971+00:00
64,Boca Juniors,ARG,1732.0,bocajuniors,2026-08-30T08:43:37.451971+00:00
65,Hoffenheim,GER,1732.0,Hoffenheim,2026-08-30T08:43:37.451971+00:00
66,Rennes,FRA,1731.0,Rennes,2026-08-30T08:43:37.451971+00:00
67,Slavia Praha,CZE,1731.0,SlaviaPraha,2026-08-30T08:43:37.451971+00:00
68,Athletic Club,ESP,1726.0,athletic-club,2026-08-30T08:43:37.451971+00:00
69,Corinthians,BRA,1725.0,Corinthians,2026-08-30T08:43:37.451971+00:00
70,Argentinos Junior,ARG,1725.0,argentinos-juniors,2026-08-30T08:43:37.451971+00:00
71,Frankfurt,GER,1725.0,Frankfurt,2026-08-30T08:43:37.451971+00:00
72,Rayo Vallecano,ESP,1721.0,RayoVallecano,2026-08-30T08:43:37.451971+00:00
73,Strasbourg,FRA,1720.0,Strasbourg,2026-08-30T08:43:37.451971+00:00
74,Osasuna,ESP,1718.0,Osasuna,2026-08-30T08:43:37.451971+00:00
75,Mainz,GER,1713.0,Mainz,2026-08-30T08:43:37.451971+00:00
76,Braga,POR,1712.0,Braga,2026-08-30T08:43:37.451971+00:00
77,Olympiakos,GRE,1712.0,Olympiakos,2026-08-30T08:43:37.451971+00:00
78,Ath Paranaense,BRA,1711.0,athletico-paranaense,2026-08-30T08:43:37.451971+00:00
79,Toluca,MEX,1710.0,deportivo-toluca,2026-08-30T08:43:37.451971+00:00
80,Atlético Nacional,COL,1709.0,atletico-nacional,2026-08-30T08:43:37.451971+00:00
81,Ind Rivadavia,ARG,1709.0,independiente-rivadavia,2026-08-30T08:43:37.451971+00:00
82,Rosario Central,ARG,1708.0,rosario-central,2026-08-30T08:43:37.451971+00:00
83,Atlético Mineiro,BRA,1705.0,atletico-mineiro,2026-08-30T08:43:37.451971+00:00
84,Botafogo,BRA,1705.0,botafogo,2026-08-30T08:43:37.451971+00:00
85,Alaves,ESP,1705.0,Alaves,2026-08-30T08:43:37.451971+00:00
86,Wolves,ENG,1704.0,Wolves,2026-08-30T08:43:37.451971+00:00
87,Estudiantes,ARG,1704.0,estudiantes,2026-08-30T08:43:37.451971+00:00
88,Racing Club,ARG,1704.0,racing-club,2026-08-30T08:43:37.451971+00:00
89,Kashima Antlers,JPN,1704.0,kashima-antlers,2026-08-30T08:43:37.451971+00:00
90,River Plate,ARG,1703.0,riverplate,2026-08-30T08:43:37.451971+00:00
91,Bahia,BRA,1703.0,bahia-ba,2026-08-30T08:43:37.451971+00:00
92,Sunderland,ENG,1701.0,Sunderland,2026-08-30T08:43:37.451971+00:00
93,Spartak Moskva,RUS,1699.0,SpartakMoskva,2026-08-30T08:43:37.451971+00:00
94,Vélez Sarsfield,ARG,1698.0,velez-sarsfield,2026-08-30T08:43:37.451971+00:00
95,Fiorentina,ITA,1697.0,Fiorentina,2026-08-30T08:43:37.451971+00:00
96,São Paulo,BRA,1697.0,sao-paulo-fc,2026-08-30T08:43:37.451971+00:00
97,Midtjylland,DEN,1695.0,Midtjylland,2026-08-30T08:43:37.451971+00:00
98,Sevilla,ESP,1694.0,Sevilla,2026-08-30T08:43:37.451971+00:00
99,Girona,ESP,1693.0,Girona,2026-08-30T08:43:37.451971+00:00
100,Cruz Azul,MEX,1692.0,cruz-azul,2026-08-30T08:43:37.451971+00:00
101,LDU Quito,ECU,1692.0,ldu-quito,2026-08-30T08:43:37.451971+00:00
102,Levante,ESP,1692.0,Levante,2026-08-30T08:43:37.451971+00:00
103,Al Nassr,KSA,1691.0,al-nassr,2026-08-30T08:43:37.451971+00:00
104,Feyenoord,NED,1689.0,Feyenoord,2026-08-30T08:43:37.451971+00:00
105,Mirassol,BRA,1688.0,Mirassol,2026-08-30T08:43:37.451971+00:00
106,Udinese,ITA,1688.0,Udinese,2026-08-30T08:43:37.451971+00:00
107,Mallorca,ESP,1687.0,Mallorca,2026-08-30T08:43:37.451971+00:00
108,América,MEX,1686.0,America,2026-08-30T08:43:37.451971+00:00
109,Independiente,ARG,1686.0,Independiente,2026-08-30T08:43:37.451971+00:00
110,Getafe,ESP,1685.0,Getafe,2026-08-30T08:43:37.451971+00:00
111,Augsburg,GER,1683.0,Augsburg,2026-08-30T08:43:37.451971+00:00
112,Internacional,BRA,1682.0,internacional,2026-08-30T08:43:37.451971+00:00
113,AEK,GRE,1682.0,AEK,2026-08-30T08:43:37.451971+00:00
114,Espanyol,ESP,1681.0,Espanyol,2026-08-30T08:43:37.451971+00:00
115,Gladbach,GER,1678.0,Gladbach,2026-08-30T08:43:37.451971+00:00
116,Peñarol,URU,1677.0,PenarolMontevideo,2026-08-30T08:43:37.451971+00:00
117,Union Berlin,GER,1677.0,UnionBerlin,2026-08-30T08:43:37.451971+00:00
118,AZ,NED,1675.0,Alkmaar,2026-08-30T08:43:37.451971+00:00
119,Ipswich,ENG,1675.0,Ipswich,2026-08-30T08:43:37.451971+00:00
120,Elche,ESP,1675.0,Elche,2026-08-30T08:43:37.451971+00:00
121,Belgrano,ARG,1675.0,belgrano-de-cordoba,2026-08-30T08:43:37.451971+00:00
122,Southampton,ENG,1674.0,Southampton,2026-08-30T08:43:37.451971+00:00
123,Bragantino,BRA,1674.0,red-bull-bragantino,2026-08-30T08:43:37.451971+00:00
124,Novorizontino,BRA,1674.0,gremio-novorizontino-sp,2026-08-30T08:43:37.451971+00:00
125,Sassuolo,ITA,1674.0,Sassuolo,2026-08-30T08:43:37.451971+00:00
126,Santander,ESP,1673.0,Santander,2026-08-30T08:43:37.451971+00:00
127,Viking,NOR,1673.0,Viking,2026-08-30T08:43:37.451971+00:00
128,Inter Miami,USA,1672.0,intermiami,2026-08-30T08:43:37.451971+00:00
129,Coventry,ENG,1671.0,Coventry,2026-08-30T08:43:37.451971+00:00
130,Celtic,SCO,1669.0,Celtic,2026-08-30T08:43:37.451971+00:00
131,Santos,BRA,1667.0,santos-fc_2,2026-08-30T08:43:37.451971+00:00
132,Toulouse,FRA,1667.0,Toulouse,2026-08-30T08:43:37.451971+00:00
133,Grêmio,BRA,1667.0,gremio-porto-alegre,2026-08-30T08:43:37.451971+00:00
134,Fortaleza,BRA,1667.0,fortaleza-ce,2026-08-30T08:43:37.451971+00:00
135,Colo-Colo,CHI,1666.0,colo-colo,2026-08-30T08:43:37.451971+00:00
136,Lorient,FRA,1666.0,Lorient,2026-08-30T08:43:37.451971+00:00
137,Torino,ITA,1665.0,Torino,2026-08-30T08:43:37.451971+00:00
138,Hamburg,GER,1665.0,Hamburg,2026-08-30T08:43:37.451971+00:00
139,Ajax,NED,1664.0,Ajax,2026-08-30T08:43:37.451971+00:00
140,Werder,GER,1664.0,Werder,2026-08-30T08:43:37.451971+00:00
141,Wolfsburg,GER,1663.0,Wolfsburg,2026-08-30T08:43:37.451971+00:00
142,Uni Catolica,ECU,1661.0,universidad-catolica_2,2026-08-30T08:43:37.451971+00:00
143,Genk,BEL,1661.0,Genk,2026-08-30T08:43:37.451971+00:00
144,Vasco da Gama,BRA,1661.0,vasco-da-gama-rj,2026-08-30T08:43:37.451971+00:00
145,UANL,MEX,1660.0,uanl-tigres,2026-08-30T08:43:37.451971+00:00
146,Lanús,ARG,1659.0,lanus,2026-08-30T08:43:37.451971+00:00
147,Nashville,USA,1659.0,nashville-sc,2026-08-30T08:43:37.451971+00:00
148,Huracán,ARG,1659.0,huracan,2026-08-30T08:43:37.451971+00:00
149,Paris FC,FRA,1658.0,ParisFC,2026-08-30T08:43:37.451971+00:00
150,FC Machida Zelvia,JPN,1657.0,fc-machida-zelvia,2026-08-30T08:43:37.451971+00:00
151,Dinamo Zagreb,CRO,1657.0,DinamoZagreb,2026-08-30T08:43:37.451971+00:00
152,Criciúma,BRA,1657.0,criciuma-sc,2026-08-30T08:43:37.451971+00:00
153,Depor,ESP,1657.0,Depor,2026-08-30T08:43:37.451971+00:00
154,CSKA Moskva,RUS,1656.0,CSKAMoskva,2026-08-30T08:43:37.451971+00:00
155,Shakhtar,UKR,1656.0,Shakhtar,2026-08-30T08:43:37.451971+00:00
156,Malaga,ESP,1656.0,Malaga,2026-08-30T08:43:37.451971+00:00
157,Almeria,ESP,1655.0,Almeria,2026-08-30T08:43:37.451971+00:00
158,Genoa,ITA,1654.0,Genoa,2026-08-30T08:43:37.451971+00:00
159,Brest,FRA,1654.0,Brest,2026-08-30T08:43:37.451971+00:00
160,Nice,FRA,1654.0,Nice,2026-08-30T08:43:37.451971+00:00
161,Bolívar,BOL,1654.0,bolivar_3,2026-08-30T08:43:37.451971+00:00
162,Gimnasia LP,ARG,1653.0,gimnasia-de-la-plata,2026-08-30T08:43:37.451971+00:00
163,Dynamo Moskva,RUS,1653.0,DynamoMoskva,2026-08-30T08:43:37.451971+00:00
164,FC Kobenhavn,DEN,1653.0,FCKobenhavn,2026-08-30T08:43:37.451971+00:00
165,Vancouver,USA,1652.0,vancouver-whitecaps,2026-08-30T08:43:37.451971+00:00
166,Besiktas,TUR,1652.0,Besiktas,2026-08-30T08:43:37.451971+00:00
167,Sanfrecce Hiroshi,JPN,1652.0,sanfrecce-hiroshima,2026-08-30T08:43:37.451971+00:00
168,América de Cali,COL,1651.0,america-de-cali,2026-08-30T08:43:37.451971+00:00
169,Frosinone,ITA,1651.0,Frosinone,2026-08-30T08:43:37.451971+00:00
170,Guadalajara,MEX,1650.0,deportivo-guadalajara,2026-08-30T08:43:37.451971+00:00
171,LAFC,USA,1649.0,lafc,2026-08-30T08:43:37.451971+00:00
172,Elversberg,GER,1648.0,Elversberg,2026-08-30T08:43:37.451971+00:00
173,Juventude,BRA,1648.0,juventude-rs,2026-08-30T08:43:37.451971+00:00
174,Tigre,ARG,1647.0,tigre,2026-08-30T08:43:37.451971+00:00
175,Las Palmas,ESP,1647.0,LasPalmas,2026-08-30T08:43:37.451971+00:00
176,Cagliari,ITA,1647.0,Cagliari,2026-08-30T08:43:37.451971+00:00
177,Vitória,BRA,1647.0,vitoria-ba,2026-08-30T08:43:37.451971+00:00
178,Lech,POL,1647.0,Lech,2026-08-30T08:43:37.451971+00:00
179,Köln,GER,1647.0,Koeln,2026-08-30T08:43:37.451971+00:00
180,Venezia,ITA,1646.0,venezia-fc,2026-08-30T08:43:37.451971+00:00
181,PAOK,GRE,1646.0,PAOK,2026-08-30T08:43:37.451971+00:00
182,Instituto,ARG,1644.0,instituto-de-cordoba,2026-08-30T08:43:37.451971+00:00
183,Vissel Kobe,JPN,1644.0,vissel-kobe,2026-08-30T08:43:37.451971+00:00
184,Castellon,ESP,1643.0,Castellon,2026-08-30T08:43:37.451971+00:00
185,Paderborn,GER,1643.0,Paderborn,2026-08-30T08:43:37.451971+00:00
186,Amed SK,TUR,1642.0,amed-sk,2026-08-30T08:43:37.451971+00:00
187,Santa Fe,COL,1642.0,santa-fe,2026-08-30T08:43:37.451971+00:00
188,Al Ahli SFC,KSA,1642.0,al-ahli-sfc,2026-08-30T08:43:37.451971+00:00
189,Anderlecht,BEL,1641.0,Anderlecht,2026-08-30T08:43:37.451971+00:00
190,Uni Católica,CHI,1641.0,universidad-catolica,2026-08-30T08:43:37.451971+00:00
191,Cerro Porteño,PAR,1641.0,cerro-porteno,2026-08-30T08:43:37.451971+00:00
192,Crvena Zvezda,SRB,1641.0,CrvenaZvezda,2026-08-30T08:43:37.451971+00:00
193,Burnley,ENG,1641.0,Burnley,2026-08-30T08:43:37.451971+00:00
194,Coritiba,BRA,1636.0,coritiba-pr,2026-08-30T08:43:37.451971+00:00
195,Burgos,ESP,1636.0,Burgos,2026-08-30T08:43:37.451971+00:00
196,Uni de Chile,CHI,1635.0,universidad-de-chile,2026-08-30T08:43:37.451971+00:00
197,Parma,ITA,1634.0,parma-calcio-1913,2026-08-30T08:43:37.451971+00:00
198,DIM,COL,1634.0,independiente-medellin,2026-08-30T08:43:37.451971+00:00
199,Eibar,ESP,1633.0,Eibar,2026-08-30T08:43:37.451971+00:00
200,Twente,NED,1632.0,Twente,2026-08-30T08:43:37.451971+00:00
201,Remo,BRA,1632.0,remo-pa,2026-08-30T08:43:37.451971+00:00
202,Coquimbo,CHI,1632.0,coquimbo-unido,2026-08-30T08:43:37.451971+00:00
203,Viktoria Plzeň,CZE,1631.0,ViktoriaPlzen,2026-08-30T08:43:37.451971+00:00
204,Tolima,COL,1631.0,deportes-tolima,2026-08-30T08:43:37.451971+00:00
205,Trabzonspor,TUR,1630.0,Trabzonspor,2026-08-30T08:43:37.451971+00:00
206,Ferencvaros,HUN,1630.0,Ferencvaros,2026-08-30T08:43:37.451971+00:00
207,Millwall,ENG,1630.0,Millwall,2026-08-30T08:43:37.451971+00:00
208,Monterrey,MEX,1629.0,monterrey,2026-08-30T08:43:37.451971+00:00
209,Nordsjaelland,DEN,1629.0,Nordsjaelland,2026-08-30T08:43:37.451971+00:00
210,Millonarios,COL,1628.0,millonarios,2026-08-30T08:43:37.451971+00:00
211,Sparta Praha,CZE,1628.0,SpartaPraha,2026-08-30T08:43:37.451971+00:00
212,Oviedo,ESP,1628.0,Oviedo,2026-08-30T08:43:37.451971+00:00
213,San Lorenzo,ARG,1627.0,SanLorenzo,2026-08-30T08:43:37.451971+00:00
214,Talleres,ARG,1626.0,talleres-de-cordoba,2026-08-30T08:43:37.451971+00:00
215,Barcelona,ECU,1624.0,BarcelonaEC,2026-08-30T08:43:37.451971+00:00
216,Unión de Santa Fe,ARG,1624.0,union-de-santa-fe,2026-08-30T08:43:37.451971+00:00
217,Middlesbrough,ENG,1623.0,Middlesbrough,2026-08-30T08:43:37.451971+00:00
218,LASK,AUT,1622.0,lask,2026-08-30T08:43:37.451971+00:00
219,Auxerre,FRA,1622.0,Auxerre,2026-08-30T08:43:37.451971+00:00
220,San Diego FC,USA,1622.0,san-diego-fc,2026-08-30T08:43:37.451971+00:00
221,Club Olimpia,PAR,1622.0,club-olimpia,2026-08-30T08:43:37.451971+00:00
222,Macará,ECU,1622.0,macara,2026-08-30T08:43:37.451971+00:00
223,Nacional,URU,1621.0,NacionalMontevideo,2026-08-30T08:43:37.451971+00:00
224,Sturm Graz,AUT,1621.0,SturmGraz,2026-08-30T08:43:37.451971+00:00
225,Atlético Tucumán,ARG,1620.0,atletico-tucuman,2026-08-30T08:43:37.451971+00:00
226,GyE Mendoza,ARG,1620.0,gimnasia-de-mendoza,2026-08-30T08:43:37.451971+00:00
227,Hertha,GER,1619.0,Hertha,2026-08-30T08:43:37.451971+00:00
228,Once Caldas,COL,1619.0,once-caldas,2026-08-30T08:43:37.451971+00:00
229,Náutico,BRA,1619.0,lsapi-3966,2026-08-30T08:43:37.451971+00:00
230,Pachuca,MEX,1618.0,pachuca,2026-08-30T08:43:37.451971+00:00
231,UNAM,MEX,1618.0,pumas-unam,2026-08-30T08:43:37.451971+00:00
232,RB Salzburg,AUT,1617.0,rbsalzburg,2026-08-30T08:43:37.451971+00:00
233,Omonia,CYP,1617.0,Omonia,2026-08-30T08:43:37.451971+00:00
234,Schalke,GER,1615.0,Schalke,2026-08-30T08:43:37.451971+00:00
235,Cuiabá,BRA,1615.0,cuiaba-mt,2026-08-30T08:43:37.451971+00:00
236,Bandırmaspor,TUR,1615.0,bandirmaspor,2026-08-30T08:43:37.451971+00:00
237,Platense,ARG,1614.0,platense,2026-08-30T08:43:37.451971+00:00
238,Başakşehir,TUR,1614.0,istanbul-basaksehir,2026-08-30T08:43:37.451971+00:00
239,Beer-Sheva,ISR,1614.0,Beer-Sheva,2026-08-30T08:43:37.451971+00:00
240,Heidenheim,GER,1613.0,Heidenheim,2026-08-30T08:43:37.451971+00:00
241,Defensa y Justici,ARG,1613.0,defensa-y-justicia,2026-08-30T08:43:37.451971+00:00
242,Ferrocarril Midla,ARG,1613.0,lsapi-4199,2026-08-30T08:43:37.451971+00:00
243,Reims,FRA,1613.0,Reims,2026-08-30T08:43:37.451971+00:00
244,Lok Moskva,RUS,1613.0,LokMoskva,2026-08-30T08:43:37.451971+00:00
245,Ceará,BRA,1613.0,ceara-ce,2026-08-30T08:43:37.451971+00:00
246,Monza,ITA,1612.0,Monza,2026-08-30T08:43:37.451971+00:00
247,Mamelodi Sundowns,RSA,1611.0,mamelodisundowns,2026-08-30T08:43:37.451971+00:00
248,Atl Goianiense,BRA,1610.0,atletico-goianiense,2026-08-30T08:43:37.451971+00:00
249,Gijon,ESP,1610.0,Gijon,2026-08-30T08:43:37.451971+00:00
250,Panathinaikos,GRE,1609.0,Panathinaikos,2026-08-30T08:43:37.451971+00:00
251,Goiás,BRA,1609.0,goias-go,2026-08-30T08:43:37.451971+00:00
252,Hannover,GER,1608.0,Hannover,2026-08-30T08:43:37.451971+00:00
253,Atlético Junior,COL,1607.0,atletico-junior,2026-08-30T08:43:37.451971+00:00
254,Samsunspor,TUR,1607.0,Samsunspor,2026-08-30T08:43:37.451971+00:00
255,Hull,ENG,1607.0,Hull,2026-08-30T08:43:37.451971+00:00
256,Hammarby,SWE,1607.0,Hammarby,2026-08-30T08:43:37.451971+00:00
257,Palermo,ITA,1606.0,Palermo,2026-08-30T08:43:37.451971+00:00
258,Central Córdoba,ARG,1606.0,central-cordoba-sde,2026-08-30T08:43:37.451971+00:00
259,Sheffield United,ENG,1605.0,SheffieldUnited,2026-08-30T08:43:37.451971+00:00
260,CR Brasil,BRA,1605.0,cr-brasil-al,2026-08-30T08:43:37.451971+00:00
261,Madryn,ARG,1605.0,deportivo-madryn,2026-08-30T08:43:37.451971+00:00
262,Universitario,PER,1604.0,universitario-de-deportes,2026-08-30T08:43:37.451971+00:00
263,Lecce,ITA,1603.0,Lecce,2026-08-30T08:43:37.451971+00:00
264,Aarhus,DEN,1603.0,Aarhus,2026-08-30T08:43:37.451971+00:00
265,Albacete,ESP,1603.0,Albacete,2026-08-30T08:43:37.451971+00:00
266,Charleroi,BEL,1603.0,Charleroi,2026-08-30T08:43:37.451971+00:00
267,Troyes,FRA,1603.0,Troyes,2026-08-30T08:43:37.451971+00:00
268,Kashiwa Reysol,JPN,1601.0,kashiwa-reysol,2026-08-30T08:43:37.451971+00:00
269,Barracas Central,ARG,1601.0,barracas-central,2026-08-30T08:43:37.451971+00:00
270,Lugano,SUI,1601.0,Lugano,2026-08-30T08:43:37.451971+00:00
271,Al Qadsiah,KSA,1600.0,al-qadsiah,2026-08-30T08:43:37.451971+00:00
272,Alianza Lima,PER,1600.0,alianza-lima,2026-08-30T08:43:37.451971+00:00
273,St Truiden,BEL,1599.0,StTruiden,2026-08-30T08:43:37.451971+00:00
274,Granada,ESP,1599.0,Granada,2026-08-30T08:43:37.451971+00:00
275,Guadalajara,ESP,1599.0,Guadalajara,2026-08-30T08:43:37.451971+00:00
276,Tenerife,ESP,1599.0,Tenerife,2026-08-30T08:43:37.451971+00:00
277,Tijuana,MEX,1599.0,club-tijuana,2026-08-30T08:43:37.451971+00:00
278,Riestra,ARG,1598.0,deportivo-riestra,2026-08-30T08:43:37.451971+00:00
279,Birmingham,ENG,1597.0,Birmingham,2026-08-30T08:43:37.451971+00:00
280,Bucaramanga,COL,1597.0,atletico-bucaramanga,2026-08-30T08:43:37.451971+00:00
281,Club Nacional,PAR,1596.0,club-nacional,2026-08-30T08:43:37.451971+00:00
282,Norwich,ENG,1596.0,Norwich,2026-08-30T08:43:37.451971+00:00
283,Le Havre,FRA,1595.0,LeHavre,2026-08-30T08:43:37.451971+00:00
284,Angers,FRA,1595.0,Angers,2026-08-30T08:43:37.451971+00:00
285,Waasland-Beveren,BEL,1595.0,sk-beveren,2026-08-30T08:43:37.451971+00:00
286,Göztepe,TUR,1595.0,Goeztepe,2026-08-30T08:43:37.451971+00:00
287,Cordoba,ESP,1595.0,Cordoba,2026-08-30T08:43:37.451971+00:00
288,Aucas,ECU,1595.0,aucas,2026-08-30T08:43:37.451971+00:00
289,FC Andorra,ESP,1595.0,fc-andorra,2026-08-30T08:43:37.451971+00:00
290,St Pauli,GER,1594.0,StPauli,2026-08-30T08:43:37.451971+00:00
291,Nijmegen,NED,1593.0,Nijmegen,2026-08-30T08:43:37.451971+00:00
292,Jagiellonia,POL,1593.0,Jagiellonia,2026-08-30T08:43:37.451971+00:00
293,Vila Nova GO,BRA,1592.0,vila-nova-go,2026-08-30T08:43:37.451971+00:00
294,Deportivo Morón,ARG,1592.0,deportivo-moron,2026-08-30T08:43:37.451971+00:00
295,Cincinnati,USA,1592.0,fc-cincinnati,2026-08-30T08:43:37.451971+00:00
296,Sport,BRA,1591.0,sport-recife-pe,2026-08-30T08:43:37.451971+00:00
297,Leganes,ESP,1590.0,Leganes,2026-08-30T08:43:37.451971+00:00
298,Lincoln City,ENG,1590.0,LincolnCity,2026-08-30T08:43:37.451971+00:00
299,Rakow,POL,1590.0,Rakow,2026-08-30T08:43:37.451971+00:00
300,Sarmiento,ARG,1589.0,sarmiento-de-junin,2026-08-30T08:43:37.451971+00:00
301,Tristan Suárez,ARG,1589.0,tristan-suarez,2026-08-30T08:43:37.451971+00:00
302,Young Boys,SUI,1589.0,YoungBoys,2026-08-30T08:43:37.451971+00:00
303,Brondby,DEN,1589.0,Brondby,2026-08-30T08:43:37.451971+00:00
304,Legia,POL,1589.0,Legia,2026-08-30T08:43:37.451971+00:00
305,Newell\'s Old Boys,ARG,1588.0,newells-old-boys,2026-08-30T08:43:37.451971+00:00
306,Jeonbuk FC,KOR,1588.0,jeonbuk-fc,2026-08-30T08:43:37.451971+00:00
307,Philadelphia,USA,1588.0,philadelphia-union,2026-08-30T08:43:37.451971+00:00
308,Gent,BEL,1587.0,Gent,2026-08-30T08:43:37.451971+00:00
309,Torque,URU,1587.0,montevideo-city-torque,2026-08-30T08:43:37.451971+00:00
310,St. Gallen,SUI,1586.0,StGallen,2026-08-30T08:43:37.451971+00:00
311,Nürnberg,GER,1585.0,Nuernberg,2026-08-30T08:43:37.451971+00:00
312,Baltika,RUS,1585.0,Baltika,2026-08-30T08:43:37.451971+00:00
313,Seattle Sounders,USA,1585.0,seattlesounders,2026-08-30T08:43:37.451971+00:00
314,Banfield,ARG,1584.0,banfield,2026-08-30T08:43:37.451971+00:00
315,Antwerp,BEL,1584.0,Antwerp,2026-08-30T08:43:37.451971+00:00
316,The Strongest,BOL,1583.0,the-strongest,2026-08-30T08:43:37.451971+00:00
317,Brann,NOR,1583.0,Brann,2026-08-30T08:43:37.451971+00:00
318,Bochum,GER,1583.0,Bochum,2026-08-30T08:43:37.451971+00:00
319,Libertad,PAR,1583.0,libertad,2026-08-30T08:43:37.451971+00:00
